Muni,Surname,Name,ID Number,Year,Age,Gender,Elderly,Disabled,Veteran,HasClaim,OldApplicant,Allocated,Valid,Score
GT422,Noqoli,Nompumelelo,3203241199607,2019,93,Male,1,0,1,0,0,1,1,2
GT485,Mpofu,Nomsa,8508054007974,2008,39,Female,0,0,1,0,0,0,1,1
TSH,Martin,Ayanda,9909059524440,2011,25,Female,0,1,1,1,0,0,1,3
GT485,Mahlangu,Mandla,3307179463679,2022,91,Male,1,0,1,0,0,1,1,2
JHB,Qwabe,Jade,9206236740209,2011,32,Male,0,0,1,1,0,1,1,2
DC48,Khoza,Tshepo,4709207686148,2008,77,Female,1,1,1,0,0,0,1,3
DC48,Young,Nqobile,509174086750,2001,67,Female,1,1,1,0,0,0,1,3
TSH,Shabalala,Darren,4501087454424,2008,80,Female,1,1,1,0,0,1,1,3
GT421,Clark,Nqobile,8002039883579,2001,45,Female,0,0,0,0,0,1,1,0
GT485,Martin,Kyle,4004055187524,2014,85,Male,1,1,1,0,0,0,1,3
GT421,Hlongwane,Lungile,5809128040271,2019,66,Male,1,1,1,0,0,0,1,3
GT422,Hlongwane,Jason,402145577365,2002,83,Male,1,1,1,1,0,0,1,4
GT422,Gwala,Sibusiso,3208135620193,2007,92,Female,1,0,1,0,0,0,1,2
JHB,Zikhali,Sinethemba,5801103849928,2008,67,Female,1,0,0,0,0,0,1,1
GT421,Ngubane,Bhekumuzi,8288296905,1999,35,Male,0,1,1,0,1,1,1,3
GT484,Gqiba,Noluthando,9607188834073,2003,28,Male,0,1,1,1,0,1,1,3
GT422,Ngqola,Nomsa,9405063284415,2003,30,Female,0,0,0,0,0,1,1,0
GT481,Motsweni,Phumzile,3004269988781,1997,94,Male,1,0,0,0,1,0,1,2
GT423,Buthelezi,Nomonde,3005263599084,2017,94,Male,1,0,0,1,0,1,1,2
GT423,Nqini,Siphesihle,9601162290621,2016,29,Female,0,1,1,0,0,0,1,2
GT484,Mfenyana,Thulani,9309159650616,2000,31,Male,0,1,0,1,0,0,1,2
GT423,Mahlasela,Yamkela,7503251202028,2009,50,Male,0,0,0,0,0,0,1,0
GT422,Khoza,Siphesihle,410238245535,2008,84,Female,1,1,0,0,0,0,1,2
GT421,Nqini,Jody,6607184216305,2001,58,Male,0,0,0,1,0,0,1,1
GT423,Mbenenge,Sibusiso,8004227784284,2003,44,Female,0,1,1,0,0,0,1,2
GT423,Ngidi,Ashley,2701119137117,2021,98,Female,1,0,0,1,0,1,1,2
GT484,Qina,Yamkela,6005244183829,2009,64,Male,0,1,0,1,0,0,1,2
GT421,Ngubane,Zimasa,8701262542704,1999,38,Male,0,0,0,1,1,1,1,2
GT422,Zwane,Vuyolwethu,2711141346211,2015,97,Female,1,0,1,0,0,1,1,2
GT421,King,Nomthandazo,3212275080081,1998,92,Male,1,1,0,1,1,1,1,4
GT485,Adams,Nomvula,6108089799107,2001,63,Female,0,0,0,1,0,0,1,1
JHB,Brown,Lungile,9301074844291,2005,32,Male,0,0,1,1,0,1,1,2
GT485,Clark,Leigh,7104228174502,2022,53,Female,0,1,0,1,0,1,1,2
GT421,King,Zanele,8812083061542,2017,36,Male,0,1,1,1,0,1,1,3
GT485,Mokoena,Ashley,2903093346587,1997,96,Male,1,0,0,0,1,1,1,2
EKU,Ntuli,Vuyolwethu,4708194653754,2003,77,Male,1,1,1,0,0,0,1,3
TSH,Mdluli,Phumzile,9803155593198,2018,27,Male,0,0,1,1,0,0,1,2
GT421,King,Lusanda,4204219608549,2011,82,Male,1,0,0,0,0,1,1,1
EKU,Khoza,Jody,9008071222835,1996,34,Male,0,1,0,0,1,1,1,2
GT421,Walker,Thabo,8212062422499,2018,42,Male,0,0,1,0,0,0,1,1
GT481,Mthimkulu,Sinethemba,4704156091295,2000,77,Male,1,0,1,1,0,0,1,3
GT485,Khoza,Darren,7805278831557,2002,46,Female,0,0,1,1,0,1,1,2
DC48,Nkuna,Vuyolwethu,3606179007554,2018,88,Female,1,0,1,0,0,1,1,2
GT423,Majozi,Zimasa,9608059395405,2010,28,Female,0,0,1,1,0,1,1,2
DC42,Ndlovu,Sello,2802152075675,2011,97,Female,1,0,0,1,0,0,0,2
GT481,Mdluli,Litha,302125628138,2013,93,Male,1,0,0,0,0,0,1,1
GT422,Feni,Onwaba,2812226098254,2013,96,Female,1,1,0,0,0,0,1,2
GT422,Qwabe,Anele,8204265831288,2011,42,Female,0,0,1,1,0,1,1,2
GT485,Khawula,Stacy,8007177138926,2020,44,Male,0,0,0,0,0,0,1,0
GT481,Wright,Lungile,9510153322393,1995,29,Female,0,1,0,0,1,1,1,2
GT422,Gxowa,Thulani,6005279269368,2020,64,Female,0,1,0,0,0,1,1,1
DC48,Mitchell,Anele,9807087238295,1998,26,Female,0,0,0,0,1,1,1,1
EKU,Mabuza,Zimasa,5709063678229,2007,67,Female,1,0,1,0,0,1,1,2
GT481,Mthethwa,Zintle,4412183401505,2018,80,Female,1,0,1,0,0,1,1,2
DC48,Mahlangu,Stacy,2811146742277,2003,96,Female,1,1,1,1,0,1,0,4
GT484,Nqini,Darren,4303017422379,2019,82,Female,1,0,0,1,0,0,1,2
GT423,Ward,Sibusiso,3506078347683,2001,89,Female,1,1,0,0,0,1,1,2
GT421,Adams,Lungile,7908011641551,2007,45,Male,0,0,1,1,0,1,1,2
GT484,Dlamini,Leigh,6609029943194,1999,58,Male,0,0,1,1,1,1,1,3
EKU,Qina,Vuyiswa,9401133298888,2006,31,Female,0,1,0,1,0,0,1,2
TSH,Mahlasela,Xolani,5103061714753,1997,74,Female,1,1,1,1,1,0,1,5
GT421,Mdletshe,Khanyisa,9308208482776,2018,31,Female,0,1,1,0,0,1,1,2
DC42,Scott,Nompumelelo,4006281435169,2015,84,Male,1,0,1,0,0,1,1,2
GT422,Jones,Kyle,9303011146199,2002,32,Male,0,0,0,1,0,1,1,1
JHB,Ncobo,Nomonde,5702097151721,2017,68,Male,1,1,0,0,0,0,1,2
GT481,Khumalo,Mfundo,3111107239815,1996,93,Female,1,0,1,0,1,1,1,3
GT423,Ngubane,Onwaba,4709234587221,2000,77,Female,1,0,1,0,0,0,1,2
JHB,Gqiba,Anele,8210213079889,2005,42,Female,0,1,0,1,0,0,1,2
GT485,Mkhize,Sibusiso,5103043427336,2003,74,Female,1,1,1,0,0,0,1,3
GT484,Feni,Zanele,4609269134086,2006,78,Female,1,0,1,0,0,0,1,2
TSH,Bell,Anele,4110177950103,2015,83,Female,1,0,1,1,0,0,1,3
DC42,Mabaso,Shannon,7407192290563,2021,50,Female,0,0,0,1,0,0,1,1
EKU,Zulu,Phumeza,2902281418534,2007,96,Male,1,1,0,1,0,0,1,3
DC42,Nkosi,Candice,5707235513263,2012,67,Male,1,1,0,0,0,1,1,2
JHB,Ward,Mandla,8002125245882,2003,45,Female,0,1,0,1,0,1,1,2
EKU,Mabuza,Anele,2801147804442,2014,97,Female,1,1,1,0,0,0,1,3
GT423,Mahlasela,Lauren,5407237773924,2016,70,Male,1,0,0,1,0,1,1,2
DC42,Zulu,Jason,6205231424438,2020,62,Female,0,1,1,0,0,0,1,2
GT484,Ntuli,Sibusisiwe,7612239183600,2021,48,Female,0,1,0,1,0,0,0,2
TSH,Khoza,Bhekumuzi,4504232282865,2020,79,Female,1,1,0,0,0,0,1,2
GT421,Green,Siyabonga,6308255806669,1999,61,Male,0,1,0,1,1,1,1,3
GT481,Baloyi,Phumeza,5309221212375,2010,71,Male,1,1,0,1,0,1,1,3
GT485,Clark,Zimasa,8009273275139,2019,44,Female,0,1,1,0,0,0,1,2
GT423,Qina,Shaun,8508234134370,1995,39,Female,0,0,0,0,1,0,1,1
GT422,Mbatha,Gugulethu,8707212821128,2005,37,Female,0,1,0,1,0,0,1,2
GT485,Stewart,Shannon,6611069169615,2001,58,Female,0,1,0,1,0,0,1,2
GT421,Murphy,Tanya,8209129405809,2016,42,Female,0,1,0,0,0,1,1,1
GT484,Hill,Yamkela,9310117691511,2002,31,Female,0,0,1,0,0,1,1,1
DC48,Bongo,Nomthandazo,8602022240226,2003,39,Male,0,0,1,0,0,1,1,1
JHB,Gqiba,Zanele,7407096206865,1998,50,Female,0,1,1,1,1,1,1,4
EKU,Mphahlele,Sibongile,6507055224386,2005,59,Female,0,0,1,0,0,1,1,1
GT485,Nkosi,Brandon,8609062501834,2006,38,Female,0,1,0,1,0,0,1,2
EKU,Mdluli,Nomsa,3711244139000,1997,87,Female,1,1,1,1,1,1,1,5
DC42,Khumalo,Kevin,3811045871028,1999,86,Female,1,1,0,0,1,1,1,3
TSH,Gqirana,Zintle,5601078264509,2008,69,Male,1,0,1,0,0,1,1,2
GT421,Cele,Thamsanqa,4212267085133,2001,82,Male,1,0,0,0,0,0,1,1
GT481,Mokoena,Nomonde,7104139202670,1996,54,Male,0,0,0,0,1,0,1,1
GT484,Jones,Sibongile,409176742111,2010,77,Female,1,0,0,1,0,0,1,2
EKU,Mdletshe,Thamsanqa,9409223134431,2017,30,Female,0,1,0,0,0,0,1,1
GT423,Adams,Yamkela,4603158066179,2009,79,Male,1,0,1,1,0,1,1,3
TSH,Mitchell,Leigh,9902259906652,2019,26,Female,0,1,1,0,0,0,0,2
JHB,Walker,Sibusisiwe,5306065758558,2008,71,Male,1,1,0,0,0,1,1,2
GT485,Maluleke,Vuyolwethu,8407122621687,2004,40,Female,0,0,1,0,0,1,1,1
GT421,Brown,Shannon,6212281436779,2021,62,Female,0,0,1,0,0,1,1,1
TSH,Mthimkulu,Gugu,7501015465591,2015,50,Male,0,1,1,1,0,1,1,3
GT484,Mabuza,Nomthandazo,3105116331804,2018,93,Male,1,1,1,1,0,0,1,4
GT481,Yaso,Gugu,9706027865424,2014,27,Male,0,0,1,1,0,1,1,2
JHB,Mahlasela,Bongi,3003052505885,2011,95,Female,1,0,1,0,0,0,0,2
EKU,Ndlovu,Kagiso,7310143555959,2005,51,Male,0,0,1,0,0,0,1,1
DC48,Mtimkulu,Anathi,6410245687118,2014,60,Male,0,0,0,1,0,1,1,1
DC42,Ntuli,Jason,4205072730754,2021,82,Female,1,1,1,1,0,1,1,4
GT423,Buthelezi,Gugulethu,6703211943890,2014,58,Male,0,1,0,0,0,0,1,1
EKU,Scott,Bongi,7812199323148,2014,46,Male,0,0,0,0,0,1,1,0
EKU,Nkuna,Luyolo,6309191033213,2004,61,Male,0,0,1,0,0,0,1,1
GT481,Ncobo,Thabo,7106036060889,1995,53,Female,0,1,1,1,1,1,1,4
JHB,Mabaso,Buhle,9609247498909,1995,28,Female,0,0,0,0,1,1,1,1
GT485,Mokoena,Zimasa,5903231913891,2006,66,Female,1,1,0,0,0,0,1,2
EKU,Adams,Leigh,3803105043752,2017,87,Female,1,0,1,0,0,0,1,2
TSH,Murphy,Lungile,3306131113564,2020,91,Female,1,1,1,1,0,0,1,4
DC48,Ngqola,Bongi,3206273518447,2015,92,Male,1,1,1,1,0,0,1,4
GT485,Nqini,Thamsanqa,9403245759860,2002,31,Female,0,0,0,0,0,0,1,0
GT423,Dlamini,Xolani,7905077904178,1995,45,Female,0,1,0,0,1,1,1,2
GT422,Walker,Wayne,5511167953149,1995,69,Male,1,1,0,0,1,1,0,3
GT421,Mpofu,Khanyisile,9706234415773,2021,27,Male,0,1,1,1,0,1,1,3
JHB,Mokoena,Gugu,7803145638940,1996,47,Female,0,0,1,1,1,0,1,3
GT422,Nqini,Tanya,3804198721863,2002,86,Female,1,1,1,1,0,1,1,4
GT485,Gqiba,Dean,6403117184936,2009,61,Male,0,1,1,1,0,0,0,3
GT421,Khawula,Lungile,3802201596772,2009,87,Female,1,1,0,0,0,1,1,2
JHB,Ngidi,Kyle,7205286327012,2005,52,Male,0,0,0,0,0,0,1,0
DC42,Murphy,Nomthandazo,7709131803085,2006,47,Male,0,1,1,0,0,1,1,2
DC42,Nqini,Wayne,4112114863008,2015,83,Male,1,1,0,1,0,0,1,3
GT423,Ntuli,Kagiso,3801015241878,2009,87,Male,1,1,1,1,0,0,1,4
GT423,Gumede,Akhona,9110042299022,2000,33,Male,0,0,0,1,0,0,1,1
JHB,Ngubane,Stacy,7512023179494,2015,49,Female,0,0,0,1,0,1,1,1
DC42,Adams,Chad,3108135891128,2001,93,Female,1,0,1,1,0,1,1,3
GT485,Sithole,Candice,8403247547958,2006,41,Male,0,1,0,1,0,1,1,2
GT421,Jikeka,Xolani,4309125001823,1999,81,Male,1,0,1,0,1,1,1,3
DC42,Hill,Sinethemba,3103153926818,2011,94,Male,1,0,1,0,0,1,1,2
DC42,Mthimkulu,Jason,9605247611739,2018,28,Male,0,0,0,1,0,1,1,1
GT484,Ntuli,Kagiso,6102272673573,2002,64,Male,0,1,1,1,0,0,1,3
TSH,Mdletshe,Yamkela,9908244526265,2021,25,Male,0,1,1,0,0,0,1,2
GT484,Mbenenge,Leigh,7405182566192,1999,50,Female,0,1,0,0,1,1,1,2
GT422,Ndlovu,Yamkela,9608253794140,2007,28,Male,0,0,1,1,0,1,1,2
GT485,Maluleke,Nicole,4208241887457,1995,82,Female,1,0,0,1,1,1,1,3
DC42,Mthethwa,Anele,4701021845922,2003,78,Female,1,1,1,1,0,1,1,4
GT421,Jikeka,Stacy,5205149069290,2015,72,Male,1,1,0,0,0,1,1,2
EKU,Mthethwa,Gugu,6307179161123,2013,61,Female,0,1,0,1,0,1,1,2
GT484,Gumede,Akhona,3311262074961,2017,91,Male,1,1,1,0,0,0,1,3
DC48,Baloyi,Bongi,4203219023541,2021,83,Female,1,1,1,1,0,1,1,4
GT423,Mkhize,Nomthandazo,7001157583365,2003,55,Male,0,0,1,1,0,0,1,2
GT484,Qina,Nomthandazo,7205085748984,2008,52,Female,0,1,0,0,0,1,1,1
EKU,Nqini,Stacy,5708029286368,2017,67,Male,1,0,0,0,0,0,1,1
EKU,Adams,Vuyolwethu,3259912460,1997,88,Female,1,1,0,0,1,1,1,3
JHB,Green,Themba,6301036860352,2000,62,Female,0,0,0,0,0,0,1,0
GT421,Clark,Zimasa,2708037532252,2014,97,Female,1,0,1,0,0,1,1,2
GT423,Mahlangu,Sibusisiwe,7412159773230,1997,50,Male,0,0,0,1,1,0,1,2
GT421,Gqirana,Lusanda,2602154063690,2015,99,Male,1,1,0,0,0,0,0,2
GT485,Magwaza,Kyle,8911188446678,2013,35,Male,0,1,0,1,0,1,1,2
GT481,Shabalala,Siyabonga,3209211976958,2002,92,Male,1,0,0,0,0,1,1,1
GT484,Cele,Vuyolwethu,4507139075696,2010,79,Female,1,1,0,0,0,1,1,2
GT485,Mahlangu,Kim,6107285280201,1997,63,Female,0,1,1,1,1,1,1,4
DC48,Adams,Jody,6605032894511,1999,58,Female,0,1,1,1,1,0,1,4
DC48,Qwabe,Darren,8803031391324,1996,37,Male,0,1,0,0,1,0,1,2
TSH,Motsweni,Nomvula,3008055810917,2019,94,Male,1,1,1,1,0,1,1,4
DC48,Sithole,Zintle,6405071577081,2012,60,Female,0,0,1,0,0,0,1,1
JHB,Khoza,Sibongile,7806208470063,2008,46,Female,0,0,1,0,0,1,1,1
JHB,Mkhize,Nomthandazo,9712252828114,2022,27,Male,0,0,0,0,0,0,1,0
JHB,Ndlovu,Tanya,6909264398582,2020,55,Female,0,1,1,1,0,1,1,3
TSH,Mtimkulu,Lindiwe,7710041901390,2005,47,Female,0,0,1,1,0,0,1,2
GT481,Mbatha,Dean,9012165653976,2007,34,Female,0,0,1,0,0,1,0,1
TSH,Mitchell,Darren,512131700056,2022,72,Female,1,0,0,0,0,0,0,1
GT481,Mabuza,Nomthandazo,8108265473259,2014,43,Female,0,1,1,1,0,1,1,3
GT484,Stewart,Jade,6506252294264,1998,59,Male,0,0,0,1,1,0,1,2
GT421,Hill,Zanele,9305187621876,1999,31,Female,0,1,0,0,1,1,1,2
GT485,Ndlovu,Nicole,401133186361,2021,84,Female,1,0,0,0,0,0,1,1
GT422,Nkuna,Thandeka,8305178380074,2009,41,Male,0,1,1,0,0,0,1,2
DC48,Seboko,Thulani,6109238929008,1995,63,Male,0,1,0,1,1,1,1,3
GT485,Hill,Nomsa,5201155288235,2001,73,Male,1,1,1,0,0,0,1,3
JHB,Majozi,Thamsanqa,4008237175740,2011,84,Female,1,0,0,1,0,0,1,2
JHB,Magwaza,Sibusiso,7501197823279,2015,50,Male,0,1,0,1,0,0,1,2
GT485,Motsweni,Jason,9303101110827,2009,32,Female,0,0,1,1,0,1,1,2
TSH,Qina,Kevin,6603135195092,2005,59,Female,0,0,0,1,0,0,1,1
DC42,Ngubane,Candice,4209235457259,2008,82,Male,1,1,0,1,0,1,1,3
TSH,Mpofu,Sibusiso,7912236183052,2009,45,Female,0,0,0,1,0,1,1,1
GT485,Stewart,Thamsanqa,301289295685,1999,94,Male,1,1,1,0,1,1,1,4
JHB,Brown,Onwaba,8310158666255,1995,41,Female,0,0,0,1,1,1,1,2
GT485,Ndlovu,Noluthando,8208213575630,2000,42,Male,0,0,0,1,0,0,1,1
EKU,White,Onwaba,8702268769515,2003,38,Male,0,0,0,0,0,0,1,0
TSH,Feni,Shannon,4210125198422,2017,82,Female,1,0,0,0,0,1,1,1
GT423,Mokoena,Ayanda,7405044472864,2013,50,Female,0,1,0,0,0,0,1,1
GT485,Hill,Onwaba,4206074455731,2005,82,Male,1,1,1,1,0,1,1,4
JHB,Clark,Candice,6711261965062,2020,57,Male,0,1,0,0,0,1,1,1
GT423,Martin,Nomvula,6902064502975,2022,56,Female,0,0,1,0,0,0,1,1
TSH,Mphahlele,Phumzile,8201263698813,2019,43,Male,0,0,1,1,0,1,1,2
GT423,Mphahlele,Thamsanqa,7310286812820,2013,51,Male,0,1,1,1,0,1,1,3
GT481,Noqoli,Phumeza,6707122733400,2010,57,Male,0,1,1,1,0,1,1,3
GT484,Nkosi,Sibongile,8101165722105,2020,44,Female,0,1,0,1,0,0,1,2
GT422,Khumalo,Sibusisiwe,4306257414876,2001,81,Female,1,0,0,1,0,1,1,2
TSH,Qwabe,Njabulo,3408033568084,1996,90,Female,1,0,0,1,1,0,1,3
GT484,Majozi,Leigh,9606182758671,2010,28,Male,0,1,0,1,0,1,1,2
GT421,White,Gugu,3608244716711,2010,88,Female,1,0,1,0,0,1,1,2
GT481,Mabuza,Kim,4712103130656,2014,77,Male,1,0,0,0,0,1,1,1
GT423,Mthethwa,Nomsa,506266726368,2012,70,Male,1,1,1,0,0,0,1,3
TSH,Mahlangu,Khanyisile,2810138513052,2017,96,Male,1,1,0,1,0,1,1,3
GT481,Cele,Vuyolwethu,3405159091969,2020,90,Male,1,0,0,0,0,0,1,1
GT421,Nkosi,Candice,6908252546268,2022,55,Male,0,1,1,1,0,0,1,3
GT481,Wright,Khanyisile,2907186826460,2004,95,Male,1,0,1,0,0,1,0,2
GT423,Gqiba,Sibusiso,7509246735697,2010,49,Female,0,0,0,1,0,0,1,1
TSH,Wright,Sibongile,7812148023666,2001,46,Female,0,1,1,1,0,0,0,3
TSH,Mthimkulu,Mfundo,3404092559736,2004,91,Female,1,1,0,0,0,0,1,2
JHB,Taylor,Sipho,6208212999399,2018,62,Male,0,1,0,0,0,1,1,1
DC48,Stewart,Themba,8101182814160,2018,44,Male,0,1,1,1,0,0,1,3
GT481,Baloyi,Nomsa,3307161629969,2019,91,Female,1,0,1,1,0,0,1,3
DC42,Mahlangu,Litha,5702199674874,2000,68,Female,1,1,0,0,0,1,1,2
GT481,Mthembu,Sibusiso,8005011265419,2015,44,Female,0,0,0,0,0,1,1,0
EKU,Ndlovu,Zanele,5604175310025,1995,68,Female,1,0,1,0,1,0,1,3
GT423,Bongo,Khanyisa,8204102747307,2018,43,Female,0,0,0,0,0,1,1,0
EKU,Walker,Phumzile,2812263137860,2020,96,Male,1,1,1,0,0,0,1,3
GT481,Zikhali,Mfundo,8202091372067,2003,43,Male,0,1,0,0,0,1,1,1
JHB,Jones,Nicole,3807158436159,2016,86,Female,1,1,1,1,0,0,1,4
TSH,Qina,Darren,9106176649517,2006,33,Male,0,1,1,0,0,0,1,2
GT484,Nkuna,Kevin,5301083419055,2018,72,Male,1,1,1,0,0,1,1,3
TSH,Bell,Kevin,3001186882486,2001,95,Female,1,0,0,1,0,1,1,2
JHB,Magwaza,Sinethemba,5401048817076,2011,71,Female,1,0,1,0,0,1,1,2
DC42,Yaso,Gugu,9512164977149,2009,29,Male,0,0,0,0,0,1,0,0
JHB,Bongo,Candice,8308157476563,2004,41,Female,0,0,0,0,0,0,1,0
GT481,Mabaso,Nomthandazo,7305104051792,2009,51,Female,0,1,1,0,0,0,1,2
GT423,Ngidi,Nokuthula,3101285474536,2022,94,Female,1,0,0,0,0,0,1,1
TSH,Mahlasela,Thabo,4811187557153,2011,76,Male,1,1,0,0,0,0,1,2
TSH,Gumede,Nompumelelo,6204059808433,1995,63,Female,0,1,0,1,1,1,1,3
GT481,Nkosi,Thandeka,3412129273117,2001,90,Female,1,1,1,1,0,0,1,4
GT485,Khumalo,Thabo,7310272373314,2005,51,Female,0,1,1,1,0,1,1,3
GT421,Mthembu,Zintle,9712178445224,2018,27,Female,0,0,1,1,0,0,1,2
EKU,Adams,Dean,2802077389195,2018,97,Female,1,0,0,0,0,0,1,1
EKU,Brown,Nomthandazo,4605272630301,1999,78,Female,1,1,0,1,1,1,1,4
EKU,White,Themba,3704257819582,1998,87,Male,1,0,0,0,1,1,1,2
GT481,Buthelezi,Thabo,7603241230168,2001,49,Female,0,0,1,1,0,1,1,2
GT481,Smith,Mandla,9210032815537,2015,32,Male,0,0,0,1,0,1,1,1
DC48,Scott,Nompumelelo,8011254330047,1996,44,Male,0,0,0,0,1,0,0,1
GT484,Mtimkulu,Nomsa,2809276083574,2017,96,Female,1,1,1,0,0,1,1,3
GT421,Zwane,Tshepo,9708059145172,2016,27,Male,0,0,1,1,0,0,1,2
GT485,Mpofu,Yamkela,3308275430401,2021,91,Female,1,0,0,0,0,0,1,1
GT481,Mdletshe,Themba,5701239807360,1998,68,Female,1,0,0,1,1,0,1,3
TSH,Mbatha,Tanya,403254769302,2017,82,Male,1,0,0,1,0,1,1,2
GT423,Khoza,Thabo,5310236456727,1996,71,Male,1,1,1,0,1,0,1,4
DC42,Bongo,Sibusisiwe,5704036807037,2000,68,Male,1,0,1,1,0,1,1,3
JHB,Nqini,Sipho,311203427377,2003,93,Female,1,1,0,1,0,1,1,3
DC48,Yaso,Nqobile,3304016673349,1996,92,Female,1,1,1,1,1,1,1,5
DC48,Qwabe,Naledi,8808276025561,2011,36,Female,0,0,1,1,0,1,1,2
GT421,Ndlovu,Tanya,3805265695986,2003,86,Male,1,1,0,0,0,0,1,2
GT484,Zulu,Nqobile,2806163928891,2018,96,Female,1,1,1,1,0,1,1,4
GT484,Yaso,Siyabonga,5706131609239,2022,67,Male,1,0,0,1,0,0,1,2
JHB,Majozi,Jason,3308199566293,1998,91,Female,1,0,0,0,1,1,1,2
DC42,Murphy,Jason,3509213372080,1999,89,Male,1,1,1,1,1,1,1,5
TSH,Gumede,Brandon,7305268207336,2011,51,Male,0,1,1,0,0,0,1,2
GT422,Khawula,Lauren,8808288234321,2020,36,Female,0,0,0,1,0,0,0,1
GT422,Gwala,Wayne,9408117776476,1996,30,Male,0,0,0,0,1,1,1,1
TSH,Mokoena,Lungile,7212205875904,2005,52,Male,0,1,0,0,0,1,1,1
TSH,Martin,Akhona,6601236784225,2022,59,Female,0,0,1,1,0,0,1,2
GT423,Mokoena,Sibusiso,7007245020283,2022,54,Female,0,0,1,1,0,1,1,2
GT481,Khawula,Khanyisa,7006125059845,1995,54,Male,0,0,1,1,1,0,1,3
TSH,Ncobo,Sinethemba,4105134003505,1998,83,Female,1,1,0,1,1,0,1,4
GT485,Gxowa,Yamkela,4602176517535,2016,79,Female,1,0,1,1,0,1,1,3
GT485,Bell,Yamkela,4906075194101,2013,75,Female,1,0,0,1,0,0,1,2
GT481,Nqini,Thulani,9105175254933,2013,33,Female,0,1,0,1,0,1,1,2
GT485,Smith,Akhona,4508028155153,2017,79,Female,1,1,1,1,0,1,1,4
EKU,Khoza,Vuyiswa,9706095770193,1998,27,Female,0,0,0,1,1,0,1,2
GT481,Mphahlele,Tshepo,7310019369487,2018,51,Male,0,1,1,1,0,1,1,3
GT485,Nqini,Thembeka,8204221996721,2020,42,Male,0,1,0,1,0,0,1,2
GT485,Bell,Kyle,4512215085376,2016,79,Male,1,0,1,0,0,0,0,2
DC42,Nqini,Kevin,9603167903918,2002,29,Female,0,1,0,1,0,1,1,2
GT423,Brown,Nomthandazo,2808211167274,2008,96,Female,1,0,1,1,0,1,1,3
TSH,Taylor,Kevin,6903221579508,2016,56,Female,0,0,1,1,0,0,1,2
DC42,Zikhali,Thulani,5605069836194,1995,68,Male,1,0,0,0,1,0,1,2
EKU,Hill,Sibongile,7804224153330,2018,46,Female,0,0,1,0,0,0,1,1
GT481,Seboko,Brandon,6805201417756,2005,56,Male,0,1,0,0,0,1,1,1
GT485,King,Zanele,4609279363244,2019,78,Female,1,0,1,1,0,1,1,3
GT484,King,Litha,3702122501499,2004,88,Male,1,1,1,0,0,1,1,3
GT481,Green,Nqobile,9709061341367,2006,27,Male,0,0,0,0,0,1,1,0
JHB,Jones,Darren,8008042072413,1998,44,Female,0,0,1,1,1,0,1,3
TSH,Gumede,Brandon,2910098811275,2014,95,Female,1,0,1,0,0,0,0,2
GT481,Baloyi,Naledi,5904198231819,2017,65,Female,0,0,1,0,0,1,1,1
DC48,Sithole,Khanyisa,5301037284201,1997,72,Female,1,0,0,0,1,0,1,2
GT485,Dlamini,Khanyisile,4708112727341,2003,77,Female,1,0,1,1,0,1,1,3
JHB,Mthethwa,Ashley,8711272540246,2010,37,Female,0,0,1,0,0,0,1,1
GT485,Baloyi,Mandla,3904226596996,1996,85,Female,1,1,1,0,1,0,1,4
GT423,Zulu,Sipho,5807158535842,2013,66,Male,1,1,1,1,0,0,1,4
DC48,Zikhali,Sinethemba,7404263007778,2007,50,Male,0,1,1,0,0,0,1,2
GT422,Mphahlele,Nomsa,9501018962312,1995,30,Female,0,0,0,0,1,1,1,1
GT422,Taylor,Bongi,510169512017,2019,74,Female,1,1,1,0,0,1,1,3
GT421,Ncobo,Phumeza,3001155350588,2007,95,Female,1,0,1,1,0,1,1,3
GT481,Hlongwane,Zanele,5405167414178,2018,70,Female,1,0,1,1,0,1,1,3
GT484,Walker,Njabulo,8811175300038,2009,36,Male,0,1,0,0,0,0,1,1
GT422,Ntuli,Vuyolwethu,3007162021154,1999,94,Female,1,0,1,1,1,1,1,4
DC42,Green,Sinethemba,7908031795922,2002,45,Female,0,1,0,0,0,0,1,1
DC42,Mahlasela,Noluthando,7412101471341,2019,50,Female,0,0,1,0,0,0,1,1
DC48,Zikhali,Yamkela,3111225732739,2019,93,Female,1,1,1,1,0,0,1,4
DC48,Mabaso,Lerato,5110118352222,2017,73,Female,1,1,1,1,0,0,1,4
TSH,Zwane,Sello,5702232702550,1995,68,Female,1,1,1,1,1,1,1,5
TSH,Mthimkulu,Njabulo,9911194654871,2012,25,Female,0,1,1,1,0,0,1,3
GT422,Ngqola,Mfundo,9509276698492,2004,29,Male,0,1,0,1,0,0,1,2
GT484,Mthembu,Khanyisa,8108287002629,2011,43,Male,0,0,0,1,0,0,1,1
DC42,Ntuli,Leigh,7908179964169,1998,45,Male,0,0,0,0,1,0,1,1
GT485,Green,Nokuthula,4408252439796,2009,80,Male,1,0,0,0,0,1,1,1
EKU,Ngubane,Lindiwe,5410131595081,2003,70,Male,1,1,1,1,0,0,1,4
GT484,Khumalo,Bongi,4302075441707,2001,82,Male,1,0,1,0,0,1,1,2
GT423,Mthethwa,Kevin,9608108365059,1999,28,Female,0,1,1,1,1,1,1,4
GT423,Jikeka,Noluthando,3709146391242,2012,87,Female,1,0,0,0,0,1,1,1
